B-SPBN-FKDE-Linear,B-SPBN-FKDE-Simple,B-SPBN-Linear,B-SPBN-Simple,SPBN
2.0,1.0,1.8,2.2,1.2
1.2,1.8,0.6,1.0,1.0
2.4,2.6,2.4,1.0,0.6
2.0,2.2,1.6,1.0,0.8
1.2,1.8,1.2,1.6,1.4
2.4,1.6,1.6,1.6,1.6
2.0,1.4,1.6,1.4,1.2
2.2,1.2,1.4,1.2,1.4
2.2,2.0,1.2,2.0,2.0
2.2,2.4,1.4,1.6,1.8
2.2,1.8,0.6,0.6,2.0
2.4,1.0,1.0,0.8,2.0
1.4,1.6,2.0,1.4,0.6
1.2,1.2,1.4,1.4,1.6
2.8,2.0,0.8,0.8,1.0
1.4,1.8,1.8,1.2,1.4
1.6,1.8,1.6,2.2,3.2
2.6,3.0,1.6,1.2,3.0
0.6,2.0,1.8,2.8,2.4
3.6,3.0,2.0,2.4,0.2
1.0,3.0,1.2,0.8,1.4
1.0,1.2,0.8,1.4,1.4
0.4,1.0,2.2,0.8,1.8
0.8,1.8,1.6,1.2,1.4
1.6,1.8,2.0,1.6,1.8
1.8,1.4,0.6,2.0,1.6
1.4,0.4,2.0,0.8,1.4
2.0,1.8,1.6,3.2,1.8
3.2,4.6,1.6,1.4,2.8
4.2,1.8,1.8,0.6,0.6
1.8,2.4,2.0,1.4,1.4
2.8,0.6,1.4,1.8,1.4
