B-SPBN-FKDE-Simple,B-SPBN-Simple,GBN-BGe,GBN-BIC,SPBN
-70755.71,-72910.62,-75429.51,-75429.51,-72821.55
-71809.63,-73412.19,-75429.51,-75429.51,-72877.69
-42388.74,-41849.08,-55526.09,-55657.12,-41722.29
-45995.64,-42248.63,-55526.09,-55657.12,-41709.66
-9365.02,-12764.97,-25477.02,-25477.02,-12042.77
-13583.68,-12946.84,-25477.02,-25477.02,-12042.77
-39750.1,-55554.14,-64900.05,-64851.27,-55487.86
-53083.7,-55741.17,-64900.05,-64851.27,-55487.86
-100855.07,-101468.54,-111715.45,-111649.13,-101230.27
-102599.66,-101612.71,-111715.45,-111649.13,-101435.81
