Simulation,Model,M,HC Ratio,Test Ratio
1,BSBN,50,1.56e+00 $\pm$ 0.17,2.87e+01 $\pm$ 4.951
1,BSBN,100,1.48e+00 $\pm$ 0.18,9.66e+00 $\pm$ 1.19
1,BSBN-FKDE,50,3.87e+00 $\pm$ 0.834,1.23e+02 $\pm$ 18.374
1,BSBN-FKDE,100,2.85e+00 $\pm$ 0.308,2.37e+01 $\pm$ 1.594
2,BSBN,50,1.75e+00 $\pm$ 0.031,3.68e+01 $\pm$ 4.255
2,BSBN,100,1.62e+00 $\pm$ 0.028,1.70e+01 $\pm$ 2.067
2,BSBN-FKDE,50,3.89e+00 $\pm$ 0.187,1.23e+02 $\pm$ 24.204
2,BSBN-FKDE,100,3.11e+00 $\pm$ 0.1,2.79e+01 $\pm$ 2.888
3,BSBN,50,2.03e+00 $\pm$ 0.05,3.89e+01 $\pm$ 3.929
3,BSBN,100,1.92e+00 $\pm$ 0.032,1.80e+01 $\pm$ 3.127
3,BSBN-FKDE,50,4.48e+00 $\pm$ 0.032,1.26e+02 $\pm$ 14.17
3,BSBN-FKDE,100,2.98e+00 $\pm$ 0.039,3.12e+01 $\pm$ 3.027
4,BSBN,50,2.03e+00 $\pm$ 0.699,2.09e+01 $\pm$ 6.766
4,BSBN,100,1.60e+00 $\pm$ 0.488,9.17e+00 $\pm$ 1.345
4,BSBN-FKDE,50,4.47e+00 $\pm$ 0.89,1.17e+02 $\pm$ 11.844
4,BSBN-FKDE,100,3.39e+00 $\pm$ 0.538,2.38e+01 $\pm$ 1.519
5,BSBN,50,1.90e+00 $\pm$ 0.481,3.86e+01 $\pm$ 7.666
5,BSBN,100,1.36e+00 $\pm$ 0.1,1.03e+01 $\pm$ 0.25
5,BSBN-FKDE,50,2.85e+00 $\pm$ 0.889,1.47e+02 $\pm$ 34.842
5,BSBN-FKDE,100,1.86e+00 $\pm$ 0.113,1.86e+01 $\pm$ 0.81
